Key Success Stage,Key Success Area,Description,KSA Points,Question Points,Client Star Rating,Weight,Active Weight C,Exclude from Priorities,Effort,Forecast,,Priority,Tool Tip
Browse,Connected Content,Is connected content used logically across the website? ,30,10,1,"100,0%","20,0%",0,Week,FALSE,,"0,60",
Browse,Content Blocks,Are content blocks used to highlight popular products and categories?,50,10,3,"20,0%","12,0%",0,Hour,FALSE,,"4,00",
Browse,Content Blocks,Are content blocks used to highlight promotional and/or marketing activities?,50,10,3,"20,0%","12,0%",0,Hour,FALSE,,"4,00",
Browse,Content Blocks,Are these used on PLP's?,50,10,0,"20,0%","0,0%",0,Day,FALSE,,"1,25",
Browse,Content Blocks,Are these used on PDP's?,50,10,0,"20,0%","0,0%",0,Day,FALSE,,"1,25",
Browse,Content Blocks,Are these used on the Homepage?,50,10,3,"20,0%","12,0%",0,Day,FALSE,,"0,50",
Browse,Filters,Are the right amount of filter options given?,100,50,3,"16,7%","10,0%",0,Hour,FALSE,,"6,67",
Browse,Filters,Are all filters relevant?,100,50,4,"16,7%","13,3%",0,Hour,FALSE,,"3,33",
Browse,Filters,"Are filters being used for their true purpose, and not instead of subcategories/collections?",100,20,4,"6,7%","5,3%",0,Hour,FALSE,,"1,33",
Browse,Filters,Are all important filter options captured?,100,50,4,"16,7%","13,3%",0,Day,FALSE,,"0,42",
Browse,Filters,Can the user select multiple values for at least one attribute?,100,50,0,"16,7%","0,0%",0,Week,FALSE,,"0,42",
Browse,Filters,Are they intuitive?,100,20,2,"6,7%","2,7%",0,Week,FALSE,,"0,10",
Browse,Filters,Is there an 'apply filters' button?,100,10,0,"3,3%","0,0%",0,Week,FALSE,,"0,08",
Browse,Filters,Do filter options indicate how many products correspond to that filter?,100,20,5,"6,7%","6,7%",0,Hour,FALSE,,"0,00",
Browse,Filters,Can the user select at least one value from every attribute?,100,20,5,"6,7%","6,7%",0,Hour,FALSE,,"0,00",
Browse,Filters,Does the filter menu close as soon as the user selects a value?,100,10,2,"3,3%","1,3%",0,Hour,FALSE,,"2,00",
Browse,Guided Selling,Is guided selling available for all relevant products?,20,10,1,"33,3%","6,7%",0,Sprint,FALSE,,"0,07",
Browse,Guided Selling,"If available, is the process and outcome relevant?",20,20,2,"66,7%","26,7%",0,Month,FALSE,,"0,05",
Browse,Landing Pages,Are specific landing pages available for all main terms?,40,20,0,"66,7%","0,0%",0,Day,FALSE,,"3,33",
Browse,Landing Pages,Are these optimised for SEO purposes?,40,10,0,"33,3%","0,0%",0,Day,FALSE,,"1,67",
Browse,Pagination and Sorting,Is a load more button present at the bottom of the list?,40,20,0,"13,8%","0,0%",0,Hour,FALSE,,"5,52",
